yourlist:M20211026F248CABF64506F29A91F8037F07B67D12525920	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
10159	O75787	RENR_HUMAN	reviewed	Renin receptor (ATPase H(+)-transporting lysosomal accessory protein 2) (ATPase H(+)-transporting lysosomal-interacting protein 2) (ER-localized type I transmembrane adapter) (Embryonic liver differentiation factor 10) (N14F) (Renin/prorenin receptor) (Vacuolar ATP synthase membrane sector-associated protein M8-9) (ATP6M8-9) (V-ATPase M8.9 subunit) [Cleaved into: Renin receptor N-terminal fragment; Renin receptor C-terminal fragment]	ATP6AP2 ATP6IP2 CAPER ELDF10 HT028 MSTP009 PSEC0072	Homo sapiens (Human)	350
10161	P43657	LPAR6_HUMAN	reviewed	Lysophosphatidic acid receptor 6 (LPA receptor 6) (LPA-6) (Oleoyl-L-alpha-lysophosphatidic acid receptor) (P2Y purinoceptor 5) (P2Y5) (Purinergic receptor 5) (RB intron encoded G-protein coupled receptor)	LPAR6 P2RY5	Homo sapiens (Human)	344
10165	Q9UJS0	CMC2_HUMAN	reviewed	Calcium-binding mitochondrial carrier protein Aralar2 (Citrin) (Mitochondrial aspartate glutamate carrier 2) (Solute carrier family 25 member 13)	SLC25A13 ARALAR2	Homo sapiens (Human)	675
1019	P11802	CDK4_HUMAN	reviewed	Cyclin-dependent kinase 4 (EC 2.7.11.22) (Cell division protein kinase 4) (PSK-J3)	CDK4	Homo sapiens (Human)	303
1021	Q00534	CDK6_HUMAN	reviewed	Cyclin-dependent kinase 6 (EC 2.7.11.22) (Cell division protein kinase 6) (Serine/threonine-protein kinase PLSTIRE)	CDK6 CDKN6	Homo sapiens (Human)	326
10215	Q13516	OLIG2_HUMAN	reviewed	Oligodendrocyte transcription factor 2 (Oligo2) (Class B basic helix-loop-helix protein 1) (bHLHb1) (Class E basic helix-loop-helix protein 19) (bHLHe19) (Protein kinase C-binding protein 2) (Protein kinase C-binding protein RACK17)	OLIG2 BHLHB1 BHLHE19 PRKCBP2 RACK17	Homo sapiens (Human)	323
10216	Q92954	PRG4_HUMAN	reviewed	Proteoglycan 4 (Lubricin) (Megakaryocyte-stimulating factor) (Superficial zone proteoglycan) [Cleaved into: Proteoglycan 4 C-terminal part]	PRG4 MSF SZP	Homo sapiens (Human)	1404
10243	Q9NQX3	GEPH_HUMAN	reviewed	Gephyrin [Includes: Molybdopterin adenylyltransferase (MPT adenylyltransferase) (EC 2.7.7.75) (Domain G); Molybdopterin molybdenumtransferase (MPT Mo-transferase) (EC 2.10.1.1) (Domain E)]	GPHN GPH KIAA1385	Homo sapiens (Human)	736
10262	Q15427	SF3B4_HUMAN	reviewed	Splicing factor 3B subunit 4 (Pre-mRNA-splicing factor SF3b 49 kDa subunit) (Spliceosome-associated protein 49) (SAP 49)	SF3B4 SAP49	Homo sapiens (Human)	424
1027	P46527	CDN1B_HUMAN	reviewed	Cyclin-dependent kinase inhibitor 1B (Cyclin-dependent kinase inhibitor p27) (p27Kip1)	CDKN1B KIP1	Homo sapiens (Human)	198
10272	O95633	FSTL3_HUMAN	reviewed	Follistatin-related protein 3 (Follistatin-like protein 3) (Follistatin-related gene protein)	FSTL3 FLRG UNQ674/PRO1308	Homo sapiens (Human)	263
10273	Q9UNE7	CHIP_HUMAN	reviewed	E3 ubiquitin-protein ligase CHIP (EC 2.3.2.27) (Antigen NY-CO-7) (CLL-associated antigen KW-8) (Carboxy terminus of Hsp70-interacting protein) (RING-type E3 ubiquitin transferase CHIP) (STIP1 homology and U box-containing protein 1)	STUB1 CHIP PP1131	Homo sapiens (Human)	303
1028	P49918	CDN1C_HUMAN	reviewed	Cyclin-dependent kinase inhibitor 1C (Cyclin-dependent kinase inhibitor p57) (p57Kip2)	CDKN1C KIP2	Homo sapiens (Human)	316
1029	P42771	CDN2A_HUMAN	reviewed	Cyclin-dependent kinase inhibitor 2A (Cyclin-dependent kinase 4 inhibitor A) (CDK4I) (Multiple tumor suppressor 1) (MTS-1) (p16-INK4a) (p16-INK4) (p16INK4A)	CDKN2A CDKN2 MTS1	Homo sapiens (Human)	156
1029	Q8N726	ARF_HUMAN	reviewed	Tumor suppressor ARF (Alternative reading frame) (ARF) (Cyclin-dependent kinase inhibitor 2A) (p14ARF)	CDKN2A CDKN2 MLM	Homo sapiens (Human)	132
10290	Q15772	SPEG_HUMAN	reviewed	Striated muscle preferentially expressed protein kinase (EC 2.7.11.1) (Aortic preferentially expressed protein 1) (APEG-1)	SPEG APEG1 KIAA1297	Homo sapiens (Human)	3267
10295	O14874	BCKD_HUMAN	reviewed	[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial (EC 2.7.11.4) (Branched-chain alpha-ketoacid dehydrogenase kinase) (BCKD-kinase) (BCKDHKIN)	BCKDK	Homo sapiens (Human)	412
1031	P42773	CDN2C_HUMAN	reviewed	Cyclin-dependent kinase 4 inhibitor C (Cyclin-dependent kinase 6 inhibitor) (p18-INK4c) (p18-INK6)	CDKN2C CDKN6	Homo sapiens (Human)	168
10311	O14972	VP26C_HUMAN	reviewed	Vacuolar protein sorting-associated protein 26C (Down syndrome critical region protein 3) (Down syndrome critical region protein A)	VPS26C DCRA DSCR3 DSCRA	Homo sapiens (Human)	297
10312	Q13488	VPP3_HUMAN	reviewed	V-type proton ATPase 116 kDa subunit a3 (V-ATPase 116 kDa subunit a3) (Osteoclastic proton pump 116 kDa subunit) (OC-116 kDa) (OC116) (T-cell immune regulator 1) (T-cell immune response cDNA7 protein) (TIRC7) (Vacuolar proton translocating ATPase 116 kDa subunit a isoform 3)	TCIRG1 ATP6N1C ATP6V0A3	Homo sapiens (Human)	830
10320	Q13422	IKZF1_HUMAN	reviewed	DNA-binding protein Ikaros (Ikaros family zinc finger protein 1) (Lymphoid transcription factor LyF-1)	IKZF1 IK1 IKAROS LYF1 ZNFN1A1	Homo sapiens (Human)	519
10342	Q92734	TFG_HUMAN	reviewed	Protein TFG (TRK-fused gene protein)	TFG	Homo sapiens (Human)	400
10345	Q13061	TRDN_HUMAN	reviewed	Triadin	TRDN	Homo sapiens (Human)	729
10371	Q14563	SEM3A_HUMAN	reviewed	Semaphorin-3A (Semaphorin III) (Sema III)	SEMA3A SEMAD	Homo sapiens (Human)	771
10381	Q13509	TBB3_HUMAN	reviewed	Tubulin beta-3 chain (Tubulin beta-4 chain) (Tubulin beta-III)	TUBB3 TUBB4	Homo sapiens (Human)	450
10382	P04350	TBB4A_HUMAN	reviewed	Tubulin beta-4A chain (Tubulin 5 beta) (Tubulin beta-4 chain)	TUBB4A TUBB4 TUBB5	Homo sapiens (Human)	444
10397	Q92597	NDRG1_HUMAN	reviewed	Protein NDRG1 (Differentiation-related gene 1 protein) (DRG-1) (N-myc downstream-regulated gene 1 protein) (Nickel-specific induction protein Cap43) (Reducing agents and tunicamycin-responsive protein) (RTP) (Rit42)	NDRG1 CAP43 DRG1 RTP	Homo sapiens (Human)	394
10413	P46937	YAP1_HUMAN	reviewed	Transcriptional coactivator YAP1 (Yes-associated protein 1) (Protein yorkie homolog) (Yes-associated protein YAP65 homolog)	YAP1 YAP65	Homo sapiens (Human)	504
1045	Q99626	CDX2_HUMAN	reviewed	Homeobox protein CDX-2 (CDX-3) (Caudal-type homeobox protein 2)	CDX2 CDX3	Homo sapiens (Human)	313
10472	Q99592	ZBT18_HUMAN	reviewed	Zinc finger and BTB domain-containing protein 18 (58 kDa repressor protein) (Transcriptional repressor RP58) (Translin-associated zinc finger protein 1) (TAZ-1) (Zinc finger protein 238) (Zinc finger protein C2H2-171)	ZBTB18 RP58 TAZ1 ZNF238	Homo sapiens (Human)	522
10479	Q92581	SL9A6_HUMAN	reviewed	Sodium/hydrogen exchanger 6 (Na(+)/H(+) exchanger 6) (NHE-6) (Solute carrier family 9 member 6)	SLC9A6 KIAA0267 NHE6	Homo sapiens (Human)	669
10483	Q15437	SC23B_HUMAN	reviewed	Protein transport protein Sec23B (hSec23B) (SEC23-related protein B)	SEC23B	Homo sapiens (Human)	767
10491	O75718	CRTAP_HUMAN	reviewed	Cartilage-associated protein	CRTAP CASP	Homo sapiens (Human)	401
10499	Q15596	NCOA2_HUMAN	reviewed	Nuclear receptor coactivator 2 (NCoA-2) (Class E basic helix-loop-helix protein 75) (bHLHe75) (Transcriptional intermediary factor 2) (hTIF2)	NCOA2 BHLHE75 SRC2 TIF2	Homo sapiens (Human)	1464
1050	P49715	CEBPA_HUMAN	reviewed	CCAAT/enhancer-binding protein alpha (C/EBP alpha)	CEBPA CEBP	Homo sapiens (Human)	358
10529	O76041	NEBL_HUMAN	reviewed	Nebulette (Actin-binding Z-disk protein)	NEBL LNEBL	Homo sapiens (Human)	1014
1053	Q15744	CEBPE_HUMAN	reviewed	CCAAT/enhancer-binding protein epsilon (C/EBP epsilon)	CEBPE	Homo sapiens (Human)	281
10535	O75792	RNH2A_HUMAN	reviewed	Ribonuclease H2 subunit A (RNase H2 subunit A) (EC 3.1.26.4) (Aicardi-Goutieres syndrome 4 protein) (AGS4) (RNase H(35)) (Ribonuclease HI large subunit) (RNase HI large subunit) (Ribonuclease HI subunit A)	RNASEH2A RNASEHI RNHIA	Homo sapiens (Human)	299
10555	O15120	PLCB_HUMAN	reviewed	1-acyl-sn-glycerol-3-phosphate acyltransferase beta (EC 2.3.1.51) (1-acylglycerol-3-phosphate O-acyltransferase 2) (1-AGP acyltransferase 2) (1-AGPAT 2) (Lysophosphatidic acid acyltransferase beta) (LPAAT-beta)	AGPAT2	Homo sapiens (Human)	278
10564	Q9Y6D5	BIG2_HUMAN	reviewed	Brefeldin A-inhibited guanine nucleotide-exchange protein 2 (Brefeldin A-inhibited GEP 2) (ADP-ribosylation factor guanine nucleotide-exchange factor 2)	ARFGEF2 ARFGEP2 BIG2	Homo sapiens (Human)	1785
10568	O95436	NPT2B_HUMAN	reviewed	Sodium-dependent phosphate transport protein 2B (Sodium-phosphate transport protein 2B) (Na(+)-dependent phosphate cotransporter 2B) (NaPi3b) (Sodium/phosphate cotransporter 2B) (Na(+)/Pi cotransporter 2B) (NaPi-2b) (Solute carrier family 34 member 2)	SLC34A2	Homo sapiens (Human)	690
10655	Q9Y5R5	DMRT2_HUMAN	reviewed	Doublesex- and mab-3-related transcription factor 2 (Doublesex-like 2 protein) (DSXL-2)	DMRT2 DSXL2	Homo sapiens (Human)	561
10660	P52954	LBX1_HUMAN	reviewed	Transcription factor LBX1 (Ladybird homeobox protein homolog 1)	LBX1 LBX1H	Homo sapiens (Human)	281
10664	P49711	CTCF_HUMAN	reviewed	Transcriptional repressor CTCF (11-zinc finger protein) (CCCTC-binding factor) (CTCFL paralog)	CTCF	Homo sapiens (Human)	727
10667	O95363	SYFM_HUMAN	reviewed	Phenylalanine--tRNA ligase, mitochondrial (EC 6.1.1.20) (Phenylalanyl-tRNA synthetase) (PheRS)	FARS2 FARS1 HSPC320	Homo sapiens (Human)	451
10682	Q15125	EBP_HUMAN	reviewed	3-beta-hydroxysteroid-Delta(8),Delta(7)-isomerase (EC 5.3.3.5) (Cholestenol Delta-isomerase) (Delta(8)-Delta(7) sterol isomerase) (D8-D7 sterol isomerase) (Emopamil-binding protein)	EBP	Homo sapiens (Human)	230
10716	Q16650	TBR1_HUMAN	reviewed	T-box brain protein 1 (T-brain-1) (TBR-1) (TES-56)	TBR1	Homo sapiens (Human)	682
10717	Q9Y6B7	AP4B1_HUMAN	reviewed	AP-4 complex subunit beta-1 (AP-4 adaptor complex subunit beta) (Adaptor-related protein complex 4 subunit beta-1) (Beta subunit of AP-4) (Beta4-adaptin)	AP4B1	Homo sapiens (Human)	739
10718	P56975	NRG3_HUMAN	reviewed	Pro-neuregulin-3, membrane-bound isoform (Pro-NRG3) [Cleaved into: Neuregulin-3 (NRG-3)]	NRG3	Homo sapiens (Human)	720
10721	O75417	DPOLQ_HUMAN	reviewed	DNA polymerase theta (EC 2.7.7.7) (DNA polymerase eta)	POLQ POLH	Homo sapiens (Human)	2590
1073	Q9Y281	COF2_HUMAN	reviewed	Cofilin-2 (Cofilin, muscle isoform)	CFL2	Homo sapiens (Human)	166
10735	Q8N3U4	STAG2_HUMAN	reviewed	Cohesin subunit SA-2 (SCC3 homolog 2) (Stromal antigen 2)	STAG2 SA2	Homo sapiens (Human)	1231
10743	Q7Z5J4	RAI1_HUMAN	reviewed	Retinoic acid-induced protein 1	RAI1 KIAA1820	Homo sapiens (Human)	1906
10747	O00187	MASP2_HUMAN	reviewed	Mannan-binding lectin serine protease 2 (EC 3.4.21.104) (MBL-associated serine protease 2) (Mannose-binding protein-associated serine protease 2) (MASP-2) [Cleaved into: Mannan-binding lectin serine protease 2 A chain; Mannan-binding lectin serine protease 2 B chain]	MASP2	Homo sapiens (Human)	686
10749	O43896	KIF1C_HUMAN	reviewed	Kinesin-like protein KIF1C	KIF1C KIAA0706	Homo sapiens (Human)	1103
10765	Q9UGL1	KDM5B_HUMAN	reviewed	Lysine-specific demethylase 5B (EC 1.14.11.67) (Cancer/testis antigen 31) (CT31) (Histone demethylase JARID1B) (Jumonji/ARID domain-containing protein 1B) (PLU-1) (Retinoblastoma-binding protein 2 homolog 1) (RBP2-H1) ([histone H3]-trimethyl-L-lysine(4) demethylase 5B)	KDM5B JARID1B PLU1 RBBP2H1	Homo sapiens (Human)	1544
10771	Q15326	ZMY11_HUMAN	reviewed	Zinc finger MYND domain-containing protein 11 (Adenovirus 5 E1A-binding protein) (Bone morphogenetic protein receptor-associated molecule 1) (Protein BS69)	ZMYND11 BRAM1 BS69	Homo sapiens (Human)	602
10787	Q9Y2A7	NCKP1_HUMAN	reviewed	Nck-associated protein 1 (NAP 1) (Membrane-associated protein HEM-2) (p125Nap1)	NCKAP1 HEM2 KIAA0587 NAP1	Homo sapiens (Human)	1128
1080	P13569	CFTR_HUMAN	reviewed	Cystic fibrosis transmembrane conductance regulator (CFTR) (ATP-binding cassette sub-family C member 7) (Channel conductance-controlling ATPase) (EC 5.6.1.6) (cAMP-dependent chloride channel)	CFTR ABCC7	Homo sapiens (Human)	1480
10804	O95452	CXB6_HUMAN	reviewed	Gap junction beta-6 protein (Connexin-30) (Cx30)	GJB6	Homo sapiens (Human)	261
10806	Q86SQ7	SDCG8_HUMAN	reviewed	Serologically defined colon cancer antigen 8 (Antigen NY-CO-8) (Centrosomal colon cancer autoantigen protein) (hCCCAP)	SDCCAG8 CCCAP NPHP10 HSPC085	Homo sapiens (Human)	713
10841	O95954	FTCD_HUMAN	reviewed	Formimidoyltransferase-cyclodeaminase (Formiminotransferase-cyclodeaminase) (FTCD) (LCHC1) [Includes: Glutamate formimidoyltransferase (EC 2.1.2.5) (Glutamate formiminotransferase) (Glutamate formyltransferase); Formimidoyltetrahydrofolate cyclodeaminase (EC 4.3.1.4) (Formiminotetrahydrofolate cyclodeaminase)]	FTCD	Homo sapiens (Human)	541
10847	Q6ZRS2	SRCAP_HUMAN	reviewed	Helicase SRCAP (EC 3.6.4.-) (Domino homolog 2) (Snf2-related CBP activator)	SRCAP KIAA0309	Homo sapiens (Human)	3230
10892	Q9UDY8	MALT1_HUMAN	reviewed	Mucosa-associated lymphoid tissue lymphoma translocation protein 1 (EC 3.4.22.-) (MALT lymphoma-associated translocation) (Paracaspase)	MALT1 MLT	Homo sapiens (Human)	824
10962	Q13015	AF1Q_HUMAN	reviewed	Protein AF1q	MLLT11 AF1Q	Homo sapiens (Human)	90
11005	Q9NQ38	ISK5_HUMAN	reviewed	Serine protease inhibitor Kazal-type 5 (Lympho-epithelial Kazal-type-related inhibitor) (LEKTI) [Cleaved into: Hemofiltrate peptide HF6478; Hemofiltrate peptide HF7665]	SPINK5	Homo sapiens (Human)	1064
11020	Q9BW83	IFT27_HUMAN	reviewed	Intraflagellar transport protein 27 homolog (Putative GTP-binding protein RAY-like) (Rab-like protein 4)	IFT27 RABL4 RAYL	Homo sapiens (Human)	186
1103	P28329	CLAT_HUMAN	reviewed	Choline O-acetyltransferase (CHOACTase) (ChAT) (Choline acetylase) (EC 2.3.1.6)	CHAT	Homo sapiens (Human)	748
11043	Q9UJV3	TRIM1_HUMAN	reviewed	Probable E3 ubiquitin-protein ligase MID2 (EC 2.3.2.27) (Midin-2) (Midline defect 2) (Midline-2) (RING finger protein 60) (RING-type E3 ubiquitin transferase MID2) (Tripartite motif-containing protein 1)	MID2 FXY2 RNF60 TRIM1	Homo sapiens (Human)	735
1106	O14647	CHD2_HUMAN	reviewed	Chromodomain-helicase-DNA-binding protein 2 (CHD-2) (EC 3.6.4.12) (ATP-dependent helicase CHD2)	CHD2	Homo sapiens (Human)	1828
11064	Q7Z7A1	CNTRL_HUMAN	reviewed	Centriolin (Centrosomal protein 1) (Centrosomal protein of 110 kDa) (Cep110)	CNTRL CEP1 CEP110	Homo sapiens (Human)	2325
11078	Q9H2D6	TARA_HUMAN	reviewed	TRIO and F-actin-binding protein (Protein Tara) (Trio-associated repeat on actin)	TRIOBP KIAA1662 TARA HRIHFB2122	Homo sapiens (Human)	2365
1108	Q14839	CHD4_HUMAN	reviewed	Chromodomain-helicase-DNA-binding protein 4 (CHD-4) (EC 3.6.4.12) (ATP-dependent helicase CHD4) (Mi-2 autoantigen 218 kDa protein) (Mi2-beta)	CHD4	Homo sapiens (Human)	1912
11081	O60938	KERA_HUMAN	reviewed	Keratocan (KTN) (Keratan sulfate proteoglycan keratocan)	KERA SLRR2B	Homo sapiens (Human)	352
11093	Q76LX8	ATS13_HUMAN	reviewed	A disintegrin and metalloproteinase with thrombospondin motifs 13 (ADAM-TS 13) (ADAM-TS13) (ADAMTS-13) (EC 3.4.24.87) (von Willebrand factor-cleaving protease) (vWF-CP) (vWF-cleaving protease)	ADAMTS13 C9orf8 UNQ6102/PRO20085	Homo sapiens (Human)	1427
11116	O95684	CEP43_HUMAN	reviewed	Centrosomal protein 43 (FGFR1 oncogene partner)	CEP43 FGFR1OP FOP	Homo sapiens (Human)	399
11122	O14522	PTPRT_HUMAN	reviewed	Receptor-type tyrosine-protein phosphatase T (R-PTP-T) (EC 3.1.3.48) (Receptor-type tyrosine-protein phosphatase rho) (RPTP-rho)	PTPRT KIAA0283	Homo sapiens (Human)	1441
11136	P82251	BAT1_HUMAN	reviewed	b(0,+)-type amino acid transporter 1 (b(0,+)AT1) (Glycoprotein-associated amino acid transporter b0,+AT1) (Solute carrier family 7 member 9)	SLC7A9 BAT1	Homo sapiens (Human)	487
11141	Q9NZN1	IRPL1_HUMAN	reviewed	Interleukin-1 receptor accessory protein-like 1 (IL-1-RAPL-1) (IL-1RAPL-1) (IL1RAPL-1) (EC 3.2.2.6) (Oligophrenin-4) (Three immunoglobulin domain-containing IL-1 receptor-related 2) (TIGIRR-2) (X-linked interleukin-1 receptor accessory protein-like 1)	IL1RAPL1 OPHN4	Homo sapiens (Human)	696
11146	Q92990	GLMN_HUMAN	reviewed	Glomulin (FK506-binding protein-associated protein) (FAP) (FKBP-associated protein)	GLMN FAP48 FAP68 VMGLOM	Homo sapiens (Human)	594
11151	P31146	COR1A_HUMAN	reviewed	Coronin-1A (Coronin-like protein A) (Clipin-A) (Coronin-like protein p57) (Tryptophan aspartate-containing coat protein) (TACO)	CORO1A CORO1	Homo sapiens (Human)	461
11152	Q9Y484	WIPI4_HUMAN	reviewed	WD repeat domain phosphoinositide-interacting protein 4 (WIPI-4) (WD repeat-containing protein 45)	WDR45 WDRX1 WDRXI4 WIPI4 JM5	Homo sapiens (Human)	360
11154	Q9Y587	AP4S1_HUMAN	reviewed	AP-4 complex subunit sigma-1 (AP-4 adaptor complex subunit sigma-1) (Adaptor-related protein complex 4 subunit sigma-1) (Sigma-1 subunit of AP-4) (Sigma-4-adaptin) (Sigma4-adaptin)	AP4S1	Homo sapiens (Human)	144
11159	Q9UBK7	RBL2A_HUMAN	reviewed	Rab-like protein 2A	RABL2A	Homo sapiens (Human)	228
11168	O75475	PSIP1_HUMAN	reviewed	PC4 and SFRS1-interacting protein (CLL-associated antigen KW-7) (Dense fine speckles 70 kDa protein) (DFS 70) (Lens epithelium-derived growth factor) (Transcriptional coactivator p75/p52)	PSIP1 DFS70 LEDGF PSIP2	Homo sapiens (Human)	530
11197	Q9Y5W5	WIF1_HUMAN	reviewed	Wnt inhibitory factor 1 (WIF-1)	WIF1 UNQ191/PRO217	Homo sapiens (Human)	379
11198	Q9Y5B9	SP16H_HUMAN	reviewed	FACT complex subunit SPT16 (Chromatin-specific transcription elongation factor 140 kDa subunit) (FACT 140 kDa subunit) (FACTp140) (Facilitates chromatin transcription complex subunit SPT16) (hSPT16)	SUPT16H FACT140 FACTP140	Homo sapiens (Human)	1047
1120	Q9Y259	CHKB_HUMAN	reviewed	Choline/ethanolamine kinase (Choline kinase beta) (CK) (CKB) (EC 2.7.1.32) (Choline kinase-like protein) (Ethanolamine kinase) (EK) (EC 2.7.1.82) (Ethanolamine kinase beta) (EKB) (choline/ethanolamine kinase beta) (CKEKB)	CHKB CHETK CHKL	Homo sapiens (Human)	395
11200	O96017	CHK2_HUMAN	reviewed	Serine/threonine-protein kinase Chk2 (EC 2.7.11.1) (CHK2 checkpoint homolog) (Cds1 homolog) (Hucds1) (hCds1) (Checkpoint kinase 2)	CHEK2 CDS1 CHK2 RAD53	Homo sapiens (Human)	543
1121	P24386	RAE1_HUMAN	reviewed	Rab proteins geranylgeranyltransferase component A 1 (Choroideremia protein) (Rab escort protein 1) (REP-1) (TCD protein)	CHM REP1 TCD	Homo sapiens (Human)	653
112752	Q96FT9	IFT43_HUMAN	reviewed	Intraflagellar transport protein 43 homolog	IFT43 C14orf179	Homo sapiens (Human)	208
11279	O95600	KLF8_HUMAN	reviewed	Krueppel-like factor 8 (Basic krueppel-like factor 3) (Zinc finger protein 741)	KLF8 BKLF3 ZNF741	Homo sapiens (Human)	359
11285	Q9UBV7	B4GT7_HUMAN	reviewed	Beta-1,4-galactosyltransferase 7 (Beta-1,4-GalTase 7) (Beta4Gal-T7) (b4Gal-T7) (EC 2.4.1.-) (Proteoglycan UDP-galactose:beta-xylose beta1,4-galactosyltransferase I) (UDP-Gal:beta-GlcNAc beta-1,4-galactosyltransferase 7) (UDP-galactose:beta-N-acetylglucosamine beta-1,4-galactosyltransferase 7) (UDP-galactose:beta-xylose beta-1,4-galactosyltransferase) (XGPT) (XGalT-1) (Xylosylprotein 4-beta-galactosyltransferase) (EC 2.4.1.133) (Xylosylprotein beta-1,4-galactosyltransferase)	B4GALT7 XGALT1 UNQ748/PRO1478	Homo sapiens (Human)	327
1130	Q99698	LYST_HUMAN	reviewed	Lysosomal-trafficking regulator (Beige homolog)	LYST CHS CHS1	Homo sapiens (Human)	3801
1131	P20309	ACM3_HUMAN	reviewed	Muscarinic acetylcholine receptor M3	CHRM3	Homo sapiens (Human)	590
11315	Q99497	PARK7_HUMAN	reviewed	Parkinson disease protein 7 (Maillard deglycase) (Oncogene DJ1) (Parkinsonism-associated deglycase) (Protein DJ-1) (DJ-1) (Protein/nucleic acid deglycase DJ-1) (EC 3.1.2.-) (EC 3.5.1.-) (EC 3.5.1.124)	PARK7	Homo sapiens (Human)	189
11322	Q7Z403	TMC6_HUMAN	reviewed	Transmembrane channel-like protein 6 (Epidermodysplasia verruciformis protein 1) (Protein LAK-4)	TMC6 EVER1 EVIN1	Homo sapiens (Human)	805
113278	Q9NQ40	S52A3_HUMAN	reviewed	Solute carrier family 52, riboflavin transporter, member 3 (Riboflavin transporter 2) (hRFT2)	SLC52A3 C20orf54 RFT2 RFVT3	Homo sapiens (Human)	469
1139	P36544	ACHA7_HUMAN	reviewed	Neuronal acetylcholine receptor subunit alpha-7	CHRNA7 NACHRA7	Homo sapiens (Human)	502
114879	Q9H0X9	OSBL5_HUMAN	reviewed	Oxysterol-binding protein-related protein 5 (ORP-5) (OSBP-related protein 5) (Oxysterol-binding protein homolog 1)	OSBPL5 KIAA1534 OBPH1 ORP5	Homo sapiens (Human)	879
116028	Q96E14	RMI2_HUMAN	reviewed	RecQ-mediated genome instability protein 2 (hRMI2) (BLM-associated protein of 18 kDa) (BLAP18)	RMI2 C16orf75	Homo sapiens (Human)	147
