yourlist:M202111026320BA52A5CE8FCD097CB85A53697A35277F3CK	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
YBL023C	P29469	MCM2_YEAST	reviewed	DNA replication licensing factor MCM2 (EC 3.6.4.12) (Minichromosome maintenance protein 2)	MCM2 YBL023C YBL0438	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	868
YBL028C	P38202	YBC8_YEAST	reviewed	UPF0642 protein YBL028C	YBL028C YBL0423	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	106
YBL030C	P18239	ADT2_YEAST	reviewed	ADP,ATP carrier protein 2 (ADP/ATP translocase 2) (Adenine nucleotide translocator 2) (ANT 2) (Petite colonies protein 9)	PET9 AAC2 YBL030C YBL0421	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	318
YBL031W	P38200	SHE1_YEAST	reviewed	Mitotic spindle-associated protein SHE1 (Sensitive to high expression protein 1)	SHE1 YBL031W YBL0420	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	338
YBL032W	P38199	HEK2_YEAST	reviewed	Heterogeneous nuclear rnp K-like protein 2 (KH domain-containing protein 1)	HEK2 KHD1 YBL032W YBL0418	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	381
YBL042C	P38196	FUI1_YEAST	reviewed	Uridine permease	FUI1 YBL042C YBL0406	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	639
YBL050W	P32602	SEC17_YEAST	reviewed	Alpha-soluble NSF attachment protein (SNAP-alpha) (N-ethylmaleimide-sensitive factor attachment protein alpha) (Vesicular-fusion protein SEC17) (alpha-SNAP chaperone)	SEC17 YBL050W YBL0505 YBL0517	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	292
YBL059W	P34224	YBF9_YEAST	reviewed	Uncharacterized protein YBL059W	YBL059W YBL0508 YBL0516	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	193
YBL070C	P38186	YBH0_YEAST	reviewed	Putative uncharacterized protein YBL070C	YBL070C YBL0616	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	106
YBL085W	P38041	BOB1_YEAST	reviewed	Protein BOB1 (BEM1-binding protein) (Growth inhibitory protein 7)	BOI1 BOB1 GIN7 YBL085W YBL0717	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	980
YBL097W	P38170	CND2_YEAST	reviewed	Condensin complex subunit 2 (Barren homolog) (CAPH homolog)	BRN1 YBL097W YBL0830	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	754
YBL102W	P38166	SFT2_YEAST	reviewed	Protein transport protein SFT2	SFT2 YBL102W YBL0812	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	215
YBR003W	P18900	COQ1_YEAST	reviewed	Hexaprenyl pyrophosphate synthase, mitochondrial (HPS) (EC 2.5.1.-)	COQ1 YBR003W YBR0109	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	473
YBR009C	P02309	H4_YEAST	reviewed	Histone H4	HHF1 YBR009C YBR0122; HHF2 YNL030W N2752	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	103
YBR014C	P38068	GLRX7_YEAST	reviewed	Monothiol glutaredoxin-7	GRX7 GRX6 YBR014C YBR0219	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	203
YBR021W	P05316	FUR4_YEAST	reviewed	Uracil permease	FUR4 YBR021W YBR0303	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	633
YBR024W	P38072	SCO2_YEAST	reviewed	Protein SCO2, mitochondrial	SCO2 YBR024W YBR0308	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	301
YBR029C	P38221	CDS1_YEAST	reviewed	Phosphatidate cytidylyltransferase (EC 2.7.7.41) (CDP-diacylglycerol synthase) (CDP-DAG synthase) (CDS) (CDP-diglyceride pyrophosphorylase) (CDP-diglyceride synthase) (CDP-DG synthase) (CTP:phosphatidate cytidylyltransferase)	CDS1 CDG1 YBR029C YBR0313	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	457
YBR047W	P38231	FMP23_YEAST	reviewed	Protein FMP23, mitochondrial	FMP23 YBR047W YBR0422	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	175
YBR054W	P38079	YRO2_YEAST	reviewed	Protein YRO2	YRO2 YBR054W YBR0507	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	344
YBR059C	P38080	AKL1_YEAST	reviewed	Serine/threonine-protein kinase AKL1 (EC 2.7.11.1)	AKL1 YBR059C YBR0519	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1108
YBR068C	P38084	BAP2_YEAST	reviewed	Leu/Val/Ile amino-acid permease (Branched-chain amino-acid permease 2)	BAP2 YBR068C YBR0629	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	609
YBR078W	P38248	ECM33_YEAST	reviewed	Cell wall protein ECM33 (Extracellular mutant protein 33)	ECM33 YBR078W YBR0727	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	429
YBR079C	P38249	EIF3A_YEAST	reviewed	Eukaryotic translation initiation factor 3 subunit A (eIF3a) (Eukaryotic translation initiation factor 3 110 kDa subunit homolog) (eIF3 p110) (Translation initiation factor eIF3, p110 subunit homolog)	RPG1 TIF32 YBR079C YBR0734	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	964
YBL027W,YBR084C-A	P0CX82	RL19A_YEAST	reviewed	60S ribosomal protein L19-A (L23) (Large ribosomal subunit protein eL19-A) (RP15L) (RP33) (YL14)	RPL19A RPL23A YL14A YBR084C-A YBR084BC	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	189
YBL027W,YBR084C-A	P0CX83	RL19B_YEAST	reviewed	60S ribosomal protein L19-B (L23) (Large ribosomal subunit protein eL19) (RP15L) (RP33) (YL14)	RPL19B RPL23B YL14B YBL027W YBL0424	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	189
YBR085W	P18238	ADT3_YEAST	reviewed	ADP,ATP carrier protein 3 (ADP/ATP translocase 3) (Adenine nucleotide translocator 3) (ANT 3)	AAC3 YBR085W YBR0753	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	307
YBR089C-A	P11633	NHP6B_YEAST	reviewed	Non-histone chromosomal protein 6B	NHP6B NHPB YBR089C-A YBR090BC	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	99
YBR097W	P22219	VPS15_YEAST	reviewed	Serine/threonine-protein kinase VPS15 (EC 2.7.11.1) (Golgi-retention defective mutant protein 8) (Vacuolar protein sorting-associated protein 15)	VPS15 GRD8 VAC4 VPL19 YBR097W YBR0825	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1454
YBR102C	P38261	EXO84_YEAST	reviewed	Exocyst complex component EXO84 (Exocyst complex protein of 84 kDa) (U1 SNP1-associating protein 3)	EXO84 USA3 YBR102C YBR0831	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	753
YBR131W	P38273	CCZ1_YEAST	reviewed	Vacuolar fusion protein CCZ1 (Autophagy-related protein 11) (Calcium-caffeine-zinc sensitivity protein 1) (Cytoplasm to vacuole targeting protein 16)	CCZ1 AUT11 CVT16 YBR131W YBR1006	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	704
YBR133C	P38274	HSL7_YEAST	reviewed	Protein arginine N-methyltransferase HSL7 (EC 2.1.1.320) (Histone synthetic lethal protein 7) (Type II protein arginine N-methyltransferase) (Type II PRMT)	HSL7 YBR133C YBR1008	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	827
YBR136W	P38111	ATR_YEAST	reviewed	Serine/threonine-protein kinase MEC1 (EC 2.7.11.1) (ATR homolog) (DNA-damage checkpoint kinase MEC1) (Mitosis entry checkpoint protein 1)	MEC1 ESR1 SAD3 YBR136W YBR1012	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	2368
YBR138C	P38277	YBY8_YEAST	reviewed	Uncharacterized protein YBR138C	YBR138C YBR1014	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	524
YBR142W	P38112	MAK5_YEAST	reviewed	ATP-dependent RNA helicase MAK5 (EC 3.6.4.13) (Maintenance of killer protein 5)	MAK5 YBR142W YBR1119	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	773
YBR146W	P38120	RT09_YEAST	reviewed	37S ribosomal protein S9, mitochondrial (Mitochondrial small ribosomal subunit protein uS9m)	MRPS9 YBR146W YBR1123	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	278
YBR154C	P20434	RPAB1_YEAST	reviewed	DNA-directed RNA polymerases I, II, and III subunit RPABC1 (RNA polymerases I, II, and III subunit ABC1) (ABC27) (DNA-directed RNA polymerases I, II, and III 27 kDa polypeptide)	RPB5 RPA7 RPC9 YBR154C YBR1204	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	215
YBR156C	P38283	SLI15_YEAST	reviewed	Inner centromere protein-related protein SLI15 (INCENP-related protein SLI15)	SLI15 YBR156C YBR1206	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	698
YBR158W	P38285	AMN1_YEAST	reviewed	Antagonist of mitotic exit network protein 1 (Chromosome stability protein 13) (Increased copper-sensitivity protein 4)	AMN1 CST13 ICS4 YBR158W YBR1208	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	549
YBR159W	P38286	MKAR_YEAST	reviewed	Very-long-chain 3-oxoacyl-CoA reductase (EC 1.1.1.330) (3-ketoacyl-CoA reductase) (3-ketoreductase) (KAR) (Microsomal beta-keto-reductase)	IFA38 YBR159W YBR1209	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	347
YBR172C	P32909	SMY2_YEAST	reviewed	Protein SMY2 (Suppressor of MYO2-66 protein)	SMY2 YBR172C YBR1233	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	740
YBR173C	P38293	UMP1_YEAST	reviewed	Proteasome maturation factor UMP1	UMP1 YBR173C YBR1234	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	148
YBR177C	P38295	MCFS2_YEAST	reviewed	Medium-chain fatty acid ethyl ester synthase/esterase 2 (Alcohol O-acetyltransferase) (EC 2.3.1.84) (EC 3.1.1.-) (Ethanol hexanoyl transferase 1)	EHT1 YBR177C YBR1239	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	451
YBR179C	P38297	FZO1_YEAST	reviewed	Mitofusin FZO1 (EC 3.6.5.-) (Transmembrane GTPase FZO1)	FZO1 YBR179C YBR1241	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	855
YBR180W	P38125	DTR1_YEAST	reviewed	Dityrosine transporter 1	DTR1 YBR180W YBR1242	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	572
YBR189W	P05755	RS9B_YEAST	reviewed	40S ribosomal protein S9-B (RP21) (S13) (Small ribosomal subunit protein uS4-B) (YP28) (YS11)	RPS9B RPS13B SUP46 YBR189W YBR1317	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	195
YBR191W	Q02753	RL21A_YEAST	reviewed	60S ribosomal protein L21-A (Large ribosomal subunit protein eL21-A)	RPL21A URP1 YBR191W YBR1401	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	160
YBR192W	P38127	RIM2_YEAST	reviewed	Mitochondrial carrier protein RIM2	RIM2 YBR192W YBR1402	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	377
YBR195C	P13712	MSI1_YEAST	reviewed	Chromatin assembly factor 1 subunit p50 (CAF-1 p50 subunit) (IRA1 multicopy suppressor) (Protein MSI1)	MSI1 CAC3 YBR195C YBR1405	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	422
YBR198C	P38129	TAF5_YEAST	reviewed	Transcription initiation factor TFIID subunit 5 (TAFII-90) (TBP-associated factor 5) (TBP-associated factor 90 kDa)	TAF5 TAF90 YBR198C YBR1410	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	798
YBR202W	P38132	MCM7_YEAST	reviewed	DNA replication licensing factor MCM7 (EC 3.6.4.12) (Cell division control protein 47) (Minichromosome maintenance protein 7)	MCM7 CDC47 YBR202W YBR1441	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	845
YBR203W	P38308	CS111_YEAST	reviewed	F-box protein COS111 (Ciclopirox olamine sensitivity protein 111)	COS111 YBR203W YBR1443	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	924
YBR207W	P38310	FTH1_YEAST	reviewed	Iron transporter FTH1	FTH1 YBR207W YBR1446	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	465
YBR216C	P38315	YBP1_YEAST	reviewed	YAP1-binding protein 1 (Activator of YAP1)	YBP1 YBR216C YBR1505	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	674
YBR233W	P38151	PBP2_YEAST	reviewed	PAB1-binding protein 2	PBP2 YBR233W YBR1531	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	413
YBR236C	P32783	MCES_YEAST	reviewed	mRNA cap guanine-N7 methyltransferase (EC 2.1.1.56) (mRNA (guanine-N(7))-methyltransferase) (mRNA cap methyltransferase)	ABD1 YBR236C YBR1602	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	436
YBR237W	P21372	PRP5_YEAST	reviewed	Pre-mRNA-processing ATP-dependent RNA helicase PRP5 (EC 3.6.4.13)	PRP5 RNA5 YBR237W YBR1603	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	849
YBR241C	P38142	YB91_YEAST	reviewed	Probable metabolite transport protein YBR241C	YBR241C YBR1625	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	488
YBR247C	P38333	ENP1_YEAST	reviewed	Essential nuclear protein 1	ENP1 MEG1 YBR247C YBR1635	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	483
YBR250W	P33757	SPO23_YEAST	reviewed	Sporulation protein 23	SPO23 YBR250W YBR1702	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	523
YBR260C	P38339	RGD1_YEAST	reviewed	RHO GTPase-activating protein RGD1 (RhoGAP) (Related GAP domain protein 1)	RGD1 YBR260C YBR1728	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	666
YBR265W	P38342	TSC10_YEAST	reviewed	3-ketodihydrosphingosine reductase TSC10 (EC 1.1.1.102) (3-dehydrosphinganine reductase) (KDS reductase) (Temperature-sensitive CSG2 suppressor protein 10)	TSC10 YBR265W YBR1734	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	320
YBR267W	P38344	REI1_YEAST	reviewed	Cytoplasmic 60S subunit biogenesis factor REI1 (Required for isotropic bud growth protein 1) (pre-60S factor REI1)	REI1 YBR267W YBR1736	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	393
YBR273C	P38349	UBX7_YEAST	reviewed	UBX domain-containing protein 7	UBX7 YBR273C YBR1741	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	436
YBR274W	P38147	CHK1_YEAST	reviewed	Serine/threonine-protein kinase CHK1 (EC 2.7.11.1) (Checkpoint kinase 1)	CHK1 YBR274W YBR1742	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	527
YBR279W	P38351	PAF1_YEAST	reviewed	RNA polymerase II-associated protein 1 (Protein PAF1)	PAF1 YBR279W YBR2016	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	445
YBR283C	P38353	SSH1_YEAST	reviewed	Sec sixty-one protein homolog (Ssh1 complex subunit SSH1) (Ssh1 complex subunit alpha)	SSH1 YBR283C YBR2020	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	490
YCL014W	P25558	BUD3_YEAST	reviewed	Bud site selection protein 3	BUD3 YCL014W YCL012W YCL013W YCL12W YCL13W YCL14W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1636
YCL029C	P11709	BIK1_YEAST	reviewed	Nuclear fusion protein BIK1	BIK1 YCL029C YCL29C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	440
YCL037C	P25567	SRO9_YEAST	reviewed	RNA-binding protein SRO9 (Suppressor of RHO3 protein 9)	SRO9 YCL037C YCL37C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	434
YCL048W	P25380	SPS22_YEAST	reviewed	Sporulation-specific protein 22	SPS22 YCL048W YCL48W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	463
YCL051W	P25579	LRE1_YEAST	reviewed	Laminarase-resistance protein LRE1	LRE1 YCL051W YCL51W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	583
YCL069W	P25594	VBA3_YEAST	reviewed	Vacuolar basic amino acid transporter 3	VBA3 YCL069W YCL69W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	458
YCR011C	P25371	ADP1_YEAST	reviewed	Probable ATP-dependent permease	ADP1 YCR011C YCR105 YCR11C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1049
YCR027C	P25378	RHEB_YEAST	reviewed	Rheb-like protein RHB1 (GTP-binding protein RSG1)	RHB1 RSG1 YCR027C YCR27C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	209
YCR034W	P25358	ELO2_YEAST	reviewed	Elongation of fatty acids protein 2 (EC 2.3.1.199) (3-keto acyl-CoA synthase ELO2) (Fenpropimorph resistance protein 1) (Glucan synthesis protein 1) (Very-long-chain 3-oxoacyl-CoA synthase 2) (v-SNARE bypass mutant gene 2 protein)	ELO2 FEN1 GNS1 VBM2 YCR034W YCR34W YCR521	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	347
YCR035C	P25359	RRP43_YEAST	reviewed	Exosome complex component RRP43 (Ribosomal RNA-processing protein 43)	RRP43 YCR035C YCR35C YCR522	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	394
YCL067C,YCR039C	P0CY08	MTAL2_YEAST	reviewed	Mating-type protein ALPHA2 (MATalpha2 protein) (Alpha-2 repressor)	MATALPHA2 ALPHA-2 MAT2A MATAL2 YCR039C YCR39C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	210
YCL067C,YCR039C	P0CY09	HMAL2_YEAST	reviewed	Silenced mating-type protein ALPHA2 (MATalpha2 protein) (Alpha-2 repressor)	HMLALPHA2 YCL067C YCL67C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	210
YCR044C	P25625	PER1_YEAST	reviewed	Protein PER1 (Protein processing in the ER protein 1)	PER1 COS16 YCR044C YCR44C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	357
YCR049C	P25629	YCT9_YEAST	reviewed	Putative uncharacterized protein YCR049C	YCR049C YCR49C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	148
YCR052W	P25632	RSC6_YEAST	reviewed	Chromatin structure-remodeling complex protein RSC6 (Remodel the structure of chromatin complex subunit 6)	RSC6 YCR052W YCR52W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	483
YCR057C	P25635	PWP2_YEAST	reviewed	Periodic tryptophan protein 2 (U three protein 1) (U3 small nucleolar RNA-associated protein 1) (U3 snoRNA-associated protein 1)	PWP2 UTP1 YCR057C YCR55C/YCR57C/YCR58C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	923
YCR077C	P25644	PAT1_YEAST	reviewed	DNA topoisomerase 2-associated protein PAT1 (Decapping activator and translational repressor PAT1) (Topoisomerase II-associated protein PAT1) (mRNA turnover protein 1)	PAT1 MRT1 YCR077C YCR77C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	796
YCR096C	P0CY13	HMRA2_YEAST	reviewed	Silenced mating-type protein A2 (MATa2 protein)	HMRA2 YCR096C YCR96C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	119
YCR099C	P25657	YCY9_YEAST	reviewed	Uncharacterized protein YCR099C	YCR099C YCR99C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	155
YCR100C	P25606	YCZ0_YEAST	reviewed	Uncharacterized protein YCR100C	YCR100C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	316
YDL003W	Q12158	SCC1_YEAST	reviewed	Sister chromatid cohesion protein 1	MCD1 PDS3 RHC21 SCC1 YDL003W YD8119.04	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	566
YDL013W	P32828	SLX5_YEAST	reviewed	E3 ubiquitin-protein ligase complex SLX5-SLX8 subunit SLX5 (EC 2.3.2.27) (Hexose metabolism-related protein HEX3) (RING-type E3 ubiquitin transferase SLX5) (Synthetic lethal of unknown function protein 5)	SLX5 HEX3 YDL013W D2875	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	619
YDL020C	Q03465	RPN4_YEAST	reviewed	Protein RPN4 (Nuclear protein SON1) (Ubiquitin fusion degradation protein 5)	RPN4 SON1 UFD5 YDL020C D2840	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	531
YDL025C	Q12100	RTK1_YEAST	reviewed	Probable serine/threonine-protein kinase RTK1 (EC 2.7.11.1) (Ribosome biogenesis and tRNA synthetase-associated kinase 1)	RTK1 YDL025C D2810	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	620
YDL028C	P54199	MPS1_YEAST	reviewed	Serine/threonine-protein kinase MPS1 (EC 2.7.12.2) (Monopolar spindle protein 1) (Regulatory cell proliferation kinase 1)	MPS1 RPK1 YDL028C D2785	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	764
YDL034W	Q12448	YD034_YEAST	reviewed	Putative uncharacterized protein YDL034W	YDL034W D2758	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	114
YDL041W	Q12352	YD041_YEAST	reviewed	Putative uncharacterized protein YDL041W	YDL041W D2717	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	117
YDL043C	Q07350	PRP11_YEAST	reviewed	Pre-mRNA-splicing factor PRP11	PRP11 PRP10 RNA11 YDL043C D2711	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	266
YDL047W	P20604	PP11_YEAST	reviewed	Serine/threonine-protein phosphatase PP1-1 (EC 3.1.3.16)	SIT4 PPH1 YDL047W D2693	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	311
YDL051W	P33399	LHP1_YEAST	reviewed	La protein homolog (La autoantigen homolog) (La ribonucleoprotein)	LHP1 LAH1 YLA1 YDL051W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	275
YDL056W	P39678	MBP1_YEAST	reviewed	Transcription factor MBP1 (MBF subunit p120)	MBP1 YDL056W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	833
YDL061C	P41058	RS29B_YEAST	reviewed	40S ribosomal protein S29-B (S36) (Small ribosomal subunit protein uS14-B) (YS29)	RPS29B RPS36B YS29B YDL061C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	56
